,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6510.89682446,0.0,1.0,6,"10626,","10626,"
base_Alens,-6512.22778507,-1.33096060652,10.0,7,"11415,","11415,"
base_nnu,-6513.76082535,-2.86400088646,9.95,7,"13000,","13000,"
base_mnu,-6513.99211914,-3.09529467736,5.0,7,"16595,","16595,"
base_nrun,-6515.35847344,-4.46164897963,2.0,7,"10659,","10659,"
base_r,-6514.83892289,-3.94209842891,3.0,7,"12699,","12699,"
base_w,-6512.50609397,-1.60926950588,4.0,7,"9092,","9092,"
base_alpha1,-6518.173812,-7.27698753087,2.0,7,"15049,","15049,"
base_yhe,-6513.17961065,-2.28278618817,0.4,7,"10942,","10942,"
base_nnu_mnu,-6517.02577089,-6.12894642659,49.75,8,"17572,","17572,"
base_nrun_r,-6519.00913715,-8.11231268931,6.0,8,"15712,","15712,"
base_nnu_yhe,-6515.77416466,-4.87734019107,3.98,8,"14942,","14942,"
