,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6510.4145859,0.0,1.0,6,"10442,","10442,"
base_Alens,-6512.09596299,-1.68137709151,10.0,7,"8506,","8506,"
base_nnu,-6513.15813394,-2.74354804069,9.95,7,"12665,","12665,"
base_mnu,-6513.26063819,-2.84605229043,5.0,7,"16399,","16399,"
base_nrun,-6514.87097601,-4.45639011309,2.0,7,"10519,","10519,"
base_r,-6514.3589663,-3.94438040748,3.0,7,"12496,","12496,"
base_w,-6510.53486203,-0.120276129391,4.0,7,"8840,","8840,"
base_alpha1,-6517.75778847,-7.34320257157,2.0,7,"14816,","14816,"
base_yhe,-6512.72725497,-2.31266907786,0.4,7,"10794,","10794,"
base_nrun_r,-6518.54570063,-8.13111473761,6.0,8,"15541,","15541,"
