,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5668.16968207,-0.890773524063,1.0,6,"26862,","26862,"
base_omegak,-5667.27890855,0.0,0.6,7,"28418,","28418,"
base_Alens,-5668.92807077,-1.6491622241,10.0,7,"46313,","46313,"
base_Alensf,-5668.95576056,-1.67685201735,10.0,7,"40411,","40411,"
base_nnu,-5670.6909337,-3.41202515357,9.95,7,"67117,","67117,"
base_mnu,-5670.97239445,-3.69348590203,5.0,7,"43420,","43420,"
base_nrun,-5672.27441827,-4.99550972343,2.0,7,"45185,","45185,"
base_r,-5672.19869002,-4.91978147248,3.0,7,"98886,","98886,"
base_w,-5668.43088629,-1.15197774001,4.0,7,"25512,","25512,"
base_alpha1,-5673.66171472,-6.38280617245,2.0,7,"54614,","54614,"
base_yhe,-5670.24534967,-2.96644112867,0.4,7,"37731,","37731,"
base_nnu_mnu,-5673.91533741,-6.63642886348,49.75,8,"58332,","58332,"
base_nrun_r,-5676.27084334,-8.99193479431,6.0,8,"54667,","54667,"
base_nnu_yhe,-5672.52400539,-5.24509684854,3.98,8,"92696,","92696,"
base_nnu_meffsterile,-5673.45770763,-6.17879908483,20.862,8,"85262,","85262,"
