,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5673.98154069,0.0,1.0,6,"34881,","34881,"
base_omegak,-5677.47844674,-3.49690605565,0.6,7,"33461,","33461,"
base_Alens,-5678.01821081,-4.03667012071,10.0,7,"55868,","55868,"
base_Alensf,-5674.57690627,-0.595365589504,10.0,7,"62676,","62676,"
base_mnu,-5676.44723734,-2.46569665561,5.0,7,"47537,","47537,"
base_r,-5677.93540441,-3.95386372847,3.0,7,"70945,","70945,"
base_Aphiphi,-5677.80418614,-3.82264545032,10.0,7,"57974,","57974,"
base_nnu_mnu,-5679.28449244,-5.30295175614,49.75,8,"71631,","71631,"
base_nrun_r,-5682.57006281,-8.58852212448,6.0,8,"62478,","62478,"
base_nnu_meffsterile,-5679.22249208,-5.24095139156,20.862,8,"97600,","97600,"
base_nnu_meffsterile_r,-5683.20177357,-9.22023288278,62.586,9,"53546,","53546,"
