,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5668.52275169,0.0,1.0,6,"6093,","6093,"
base_Alens,-5668.76968775,-0.246936058367,10.0,7,"10732,","10732,"
base_nnu,-5670.93588306,-2.41313136688,9.95,7,"16149,","16149,"
base_mnu,-5671.66770007,-3.14494837135,5.0,7,"11137,","11137,"
base_nrun,-5672.46140716,-3.93865546373,2.0,7,"10289,","10289,"
base_r,-5672.46226485,-3.93951315321,3.0,7,"23291,","23291,"
base_w,-5670.21137378,-1.68862208191,4.0,7,"8721,","8721,"
base_alpha1,-5674.00817971,-5.48542801984,2.0,7,"13351,","13351,"
base_yhe,-5670.29604731,-1.77329561279,0.4,7,"8625,","8625,"
base_nnu_mnu,-5674.24275708,-5.72000538199,49.75,8,"15515,","15515,"
base_nrun_r,-5676.12744225,-7.60469055238,6.0,8,"13286,","13286,"
base_nnu_yhe,-5672.77604098,-4.25328928106,3.98,8,"25115,","25115,"
