,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6021.50569182,0.0,1.0,6,"6093,","6093,"
base_Alens,-6021.93083052,-0.425138702618,10.0,7,"10732,","10732,"
base_nnu,-6023.99308671,-2.48739489532,9.95,7,"23061,","23061,"
base_mnu,-6024.64094574,-3.13525392009,5.0,7,"11137,","11137,"
base_nrun,-6025.47279525,-3.96710343256,2.0,7,"10289,","10289,"
base_r,-6025.46737719,-3.96168537473,3.0,7,"24837,","24837,"
base_w,-6024.64634146,-3.14064963878,4.0,7,"8721,","8721,"
base_alpha1,-6027.01408854,-5.50839671825,2.0,7,"19064,","19064,"
base_yhe,-6023.32225752,-1.81656569947,0.4,7,"8625,","8625,"
base_nrun_r,-6029.17261322,-7.66692140523,6.0,8,"18971,","18971,"
