,AllChains,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5668.05900462,0.0,1.0,6,"5917,","5917,"
base_Alens,-5668.74234654,-0.68334191468,10.0,7,"8198,","8198,"
base_nnu,-5670.48981926,-2.43081463843,9.95,7,"15562,","15562,"
base_mnu,-5670.79052968,-2.73152506163,5.0,7,"10810,","10810,"
base_nrun,-5672.02295649,-3.96395186421,2.0,7,"10099,","10099,"
base_r,-5672.01397604,-3.95497142077,3.0,7,"22457,","22457,"
base_w,-5668.26954598,-0.210541354802,4.0,7,"8301,","8301,"
base_alpha1,-5673.47274084,-5.41373621554,2.0,7,"13172,","13172,"
base_yhe,-5669.87741946,-1.81841483462,0.4,7,"8333,","8333,"
base_nrun_r,-5675.75909882,-7.70009419509,6.0,8,"18674,","18674,"
