,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6510.74033417,-6510.50645216,-6510.48908882,-6510.52125338,-6510.56428213,0.05905091937,-0.321905716332,1.0,6,"11534,11459,11627,11359,","11534,11459,11627,11359,"
base_omegak,-6510.22043277,-6510.39924169,-6510.29617575,-6510.05365546,-6510.24237642,0.0728000721652,0.0,0.6,7,"7276,7354,7373,7241,","7276,7354,7373,7241,"
base_Alens,-6512.28830997,-6512.38046979,-6512.38561142,-6512.39575897,-6512.36253754,0.0249455479063,-2.12016111763,10.0,7,"12406,12496,12447,12404,","12406,12496,12447,12404,"
base_Alensf,-6512.31738993,-6512.23522801,-6512.40841249,-6512.32520291,-6512.32155833,0.0353874132264,-2.07918191654,10.0,7,"8222,8262,8163,8217,","8222,8262,8163,8217,"
base_nnu,-6513.45927728,-6513.58190244,-6513.53483747,-6513.56203515,-6513.53451309,0.0268696662183,-3.29213666745,9.95,7,"14077,14124,14082,14137,","14077,14124,14082,14137,"
base_mnu,-6513.46598358,-6513.7302947,-6513.88633394,-6513.51675365,-6513.64984147,0.0974326698988,-3.4074650471,5.0,7,"16355,16217,16425,16296,","16355,16217,16425,16296,"
base_nrun,-6515.10555057,-6515.40290309,-6515.11587703,-6515.06980943,-6515.17353503,0.0770903347003,-4.93115861105,2.0,7,"11624,11633,11655,11576,","11624,11633,11655,11576,"
base_r,-6514.82970237,-6514.69328122,-6514.70067163,-6514.77839882,-6514.75051351,0.0326703402549,-4.50813709291,3.0,7,"12975,13013,13020,13064,","12975,13013,13020,13064,"
base_w,-6510.91970355,-6510.96155876,-6510.91573609,-6510.83061387,-6510.90690307,0.0274608212601,-0.664526649273,4.0,7,"9513,9662,9653,9566,","9513,9662,9653,9566,"
base_alpha1,-6518.32358019,-6518.14728086,-6518.03683411,-6518.44038197,-6518.23701928,0.0898963575487,-7.99464286447,2.0,7,"15127,15254,15298,14787,","15127,15254,15298,14787,"
base_yhe,-6513.20645816,-6513.32174836,-6513.07553069,-6512.90062528,-6513.12609062,0.0904303683587,-2.88371420189,0.4,7,"12047,12064,12123,12045,","12047,12064,12123,12045,"
base_nnu_mnu,-6517.11120916,-6516.97582468,-6516.76939363,-6516.85453625,-6516.92774093,0.0743894207418,-6.68536451085,49.75,8,"17085,17230,17115,17207,","17085,17230,17115,17207,"
base_nrun_r,-6519.28836167,-6519.2052743,-6519.29980978,-6519.32878268,-6519.28055711,0.0264965154631,-9.03818068963,6.0,8,"16174,15896,16415,16299,","16174,15896,16415,16299,"
base_nnu_yhe,-6515.25426058,-6515.23171163,-6515.56507946,-6515.78907461,-6515.46003157,0.133471618055,-5.21765514965,3.98,8,"15723,15767,15825,15680,","15723,15767,15825,15680,"
base_nnu_meffsterile,-6516.96483404,-6517.17148406,-6517.10510542,-6517.23827508,-6517.11992465,0.0584079784021,-6.87754823208,20.862,8,"10080,10302,10094,10181,","10080,10302,10094,10181,"
