,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6510.89150818,-6510.76462796,-6510.85580614,-6510.98186073,-6510.87345075,0.0449374804969,0.0,1.0,6,"2664,2663,2654,2645,","2664,2663,2654,2645,"
base_Alens,-6512.2135176,-6512.07211906,-6512.41882561,-6512.24888021,-6512.23833562,0.0712575749124,-1.36488486743,10.0,7,"2852,2849,2868,2846,","2852,2849,2868,2846,"
base_nnu,-6513.65233556,-6513.72131297,-6513.93546934,-6513.75716112,-6513.76656975,0.0603553487562,-2.89311899747,9.95,7,"3207,3263,3251,3279,","3207,3263,3251,3279,"
base_mnu,-6514.11317435,-6513.8592222,-6514.08673176,-6513.97745126,-6514.0091449,0.057967771406,-3.13569414416,5.0,7,"4178,4143,4108,4166,","4178,4143,4108,4166,"
base_nrun,-6515.25575383,-6515.36261666,-6515.27437403,-6515.28780723,-6515.29513794,0.0234331774242,-4.42168718752,2.0,7,"2667,2646,2687,2659,","2667,2646,2687,2659,"
base_r,-6514.9655721,-6514.82136249,-6515.12219575,-6514.50023583,-6514.85234154,0.132470305375,-3.97889079161,3.0,7,"3223,3157,3159,3160,","3223,3157,3159,3160,"
base_w,-6512.62161127,-6512.3616194,-6512.57774009,-6512.99170796,-6512.63816968,0.130829179873,-1.76471893094,4.0,7,"2287,2262,2265,2278,","2287,2262,2265,2278,"
base_alpha1,-6518.360692,-6518.438655,-6518.27019139,-6518.16963008,-6518.30979212,0.0580302022962,-7.43634136739,2.0,7,"3726,3825,3793,3705,","3726,3825,3793,3705,"
base_yhe,-6513.29713229,-6513.35351653,-6513.09674163,-6513.17816194,-6513.2313881,0.0578794334861,-2.35793734539,0.4,7,"2750,2713,2757,2722,","2750,2713,2757,2722,"
base_nnu_mnu,-6517.17077299,-6517.06128009,-6517.16789451,-6517.09954596,-6517.12487339,0.0268377484481,-6.25142263608,49.75,8,"4403,4397,4405,4367,","4403,4397,4405,4367,"
base_nrun_r,-6518.96746121,-6519.27627935,-6518.92079817,-6518.84143599,-6519.00149368,0.0952171213283,-8.12804292706,6.0,8,"3957,3851,3951,3953,","3957,3851,3951,3953,"
base_nnu_yhe,-6515.53074731,-6515.86170335,-6515.59634217,-6515.74326827,-6515.68301528,0.0743065794954,-4.80956452476,3.98,8,"3756,3732,3739,3715,","3756,3732,3739,3715,"
