,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6510.40363182,-6510.26974178,-6510.39046911,-6510.49277645,-6510.38915479,0.0458332368845,0.0,1.0,6,"2620,2618,2594,2610,","2620,2618,2594,2610,"
base_Alens,-6511.98598423,-6511.95504587,-6512.12696551,-6512.14638545,-6512.05359526,0.048542462225,-1.66444047421,10.0,7,"2128,2117,2145,2116,","2128,2117,2145,2116,"
base_nnu,-6513.12933201,-6513.13236096,-6513.31740746,-6513.14820874,-6513.18182729,0.0453825045274,-2.79267250282,9.95,7,"3118,3183,3156,3208,","3118,3183,3156,3208,"
base_mnu,-6513.36480567,-6513.11699798,-6513.4237477,-6513.24286602,-6513.28710434,0.0680698834281,-2.89794955263,5.0,7,"4126,4093,4068,4112,","4126,4093,4068,4112,"
base_nrun,-6514.77459346,-6514.88337701,-6514.78018427,-6514.81130085,-6514.8123639,0.0250102090279,-4.42320911001,2.0,7,"2633,2607,2647,2632,","2633,2607,2647,2632,"
base_r,-6514.47787665,-6514.34197775,-6514.62843457,-6514.02306794,-6514.36783923,0.128955489888,-3.97868443842,3.0,7,"3176,3108,3106,3106,","3176,3108,3106,3106,"
base_w,-6510.53000117,-6510.40267397,-6510.73128263,-6510.85168803,-6510.62891145,0.100447293143,-0.239756659322,4.0,7,"2213,2195,2209,2223,","2213,2195,2209,2223,"
base_alpha1,-6517.9500195,-6518.02457867,-6517.8484448,-6517.74614095,-6517.89229598,0.0606320424152,-7.50314119147,2.0,7,"3675,3771,3726,3644,","3675,3771,3726,3644,"
base_yhe,-6512.83080958,-6512.90292873,-6512.6600177,-6512.73637706,-6512.78253327,0.0532025455132,-2.39337847746,0.4,7,"2709,2671,2723,2691,","2709,2671,2723,2691,"
base_nrun_r,-6518.48768367,-6518.83836992,-6518.45992122,-6518.37765306,-6518.54090697,0.101868974658,-8.15175217963,6.0,8,"3912,3816,3911,3902,","3912,3816,3911,3902,"
