,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5668.42638917,-5668.1323562,-5668.25793605,-5668.25271095,-5668.26734809,0.0604288203275,-0.780706234626,1.0,6,"6778,6704,6669,6711,","6778,6704,6669,6711,"
base_omegak,-5667.4683589,-5667.48723156,-5667.37874575,-5667.6122312,-5667.48664186,0.0480874788801,0.0,0.6,7,"7284,7147,7330,6657,","7284,7147,7330,6657,"
base_Alens,-5669.21090574,-5669.15018555,-5669.16464562,-5669.10650177,-5669.15805967,0.0215180176109,-1.67141781282,10.0,7,"11646,11469,11638,11560,","11646,11469,11638,11560,"
base_Alensf,-5669.14068407,-5669.26210411,-5669.2230721,-5669.06596381,-5669.17295602,0.0437300579539,-1.68631416831,10.0,7,"10092,10100,10078,10141,","10092,10100,10078,10141,"
base_nnu,-5670.9061483,-5670.90659468,-5670.96515059,-5670.94174805,-5670.9299104,0.0144056150682,-3.4432685486,9.95,7,"16976,16685,16765,16691,","16976,16685,16765,16691,"
base_mnu,-5671.12960491,-5671.32264828,-5671.18791801,-5671.1616611,-5671.20045808,0.0424392460658,-3.71381622075,5.0,7,"10961,10780,10801,10878,","10961,10780,10801,10878,"
base_nrun,-5672.52645727,-5672.65437213,-5672.54640199,-5672.47542192,-5672.55066333,0.0376617371511,-5.06402147273,2.0,7,"11324,11221,11233,11407,","11324,11221,11233,11407,"
base_r,-5672.3858952,-5672.36606387,-5672.38436743,-5672.40589195,-5672.38555462,0.00813952152783,-4.89891275882,3.0,7,"24769,24705,24664,24748,","24769,24705,24664,24748,"
base_w,-5668.66748608,-5668.77409318,-5668.71293664,-5668.75315815,-5668.72691851,0.0235260045785,-1.2402766543,4.0,7,"6391,6365,6317,6439,","6391,6365,6317,6439,"
base_alpha1,-5673.94962542,-5673.84227467,-5673.913101,-5673.86183529,-5673.89170909,0.0244064893144,-6.40506723705,2.0,7,"13781,13709,13565,13559,","13781,13709,13565,13559,"
base_yhe,-5670.38850217,-5670.44469952,-5670.38039781,-5670.51180345,-5670.43135074,0.0303905529638,-2.94470888126,0.4,7,"9408,9461,9390,9472,","9408,9461,9390,9472,"
base_nnu_mnu,-5674.17712925,-5674.10461155,-5674.01935193,-5674.21091015,-5674.12800072,0.0424648873252,-6.64135886288,49.75,8,"14528,14747,14570,14487,","14528,14747,14570,14487,"
base_nrun_r,-5676.51188051,-5676.58538732,-5676.55193609,-5676.55895985,-5676.55204094,0.0152006674545,-9.06539908681,6.0,8,"13641,13634,13686,13706,","13641,13634,13686,13706,"
base_nnu_yhe,-5672.85049409,-5672.83435869,-5672.72630285,-5672.71664555,-5672.78195029,0.0351262485642,-5.2953084383,3.98,8,"23469,22804,23122,23301,","23469,22804,23122,23301,"
base_nnu_meffsterile,-5673.75200022,-5673.61809989,-5673.66596337,-5673.75469884,-5673.69769058,0.0335916308732,-6.2110487228,20.862,8,"21323,20974,21274,21691,","21323,20974,21274,21691,"
