,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5674.16930116,-5674.15910763,-5674.23121411,-5674.17207509,-5674.1829245,0.0163361422365,0.0,1.0,6,"8683,8761,8757,8680,","8683,8761,8757,8680,"
base_omegak,-5677.70239004,-5677.73963061,-5677.57249593,-5677.76750635,-5677.69550573,0.0431179575525,-3.51258123258,0.6,7,"8372,8353,8233,8503,","8372,8353,8233,8503,"
base_Alens,-5678.2652346,-5678.24060654,-5678.28921182,-5678.21217352,-5678.25180662,0.0165219142434,-4.06888212238,10.0,7,"14024,13984,13925,13935,","14024,13984,13925,13935,"
base_Alensf,-5674.74685651,-5674.8111275,-5674.83186603,-5674.7814307,-5674.79282019,0.0184889966783,-0.609895687332,10.0,7,"15589,15718,15704,15665,","15589,15718,15704,15665,"
base_mnu,-5676.69166542,-5676.56731472,-5676.69668732,-5676.74298974,-5676.6746643,0.0376013627497,-2.49173979993,5.0,7,"11887,11933,11846,11871,","11887,11933,11846,11871,"
base_r,-5678.15081027,-5678.0967086,-5678.09505539,-5678.20112532,-5678.1359249,0.0252997105881,-3.95300039837,3.0,7,"17843,17787,17665,17650,","17843,17787,17665,17650,"
base_Aphiphi,-5677.95073508,-5678.05767838,-5677.97636154,-5677.95980841,-5677.98614585,0.02442713484,-3.80322135362,10.0,7,"14677,14517,14273,14507,","14677,14517,14273,14507,"
base_nnu_mnu,-5679.51412503,-5679.50432942,-5679.68428436,-5679.6321382,-5679.58371925,0.0443507197686,-5.40079475263,49.75,8,"18004,17841,18020,17766,","18004,17841,18020,17766,"
base_nrun_r,-5682.82676058,-5682.87463813,-5682.88258505,-5682.88365948,-5682.86691081,0.013533760717,-8.68398631142,6.0,8,"15588,15568,15658,15664,","15588,15568,15658,15664,"
base_nnu_meffsterile,-5679.42050292,-5679.6080962,-5679.4586196,-5679.53647905,-5679.50592444,0.0417405036689,-5.32299994362,20.862,8,"24451,24484,24148,24517,","24451,24484,24148,24517,"
base_nnu_meffsterile_r,-5683.48244909,-5683.49673026,-5683.61990835,-5683.34968692,-5683.48719366,0.05525301545,-9.30426915903,62.586,9,"13314,13413,13631,13188,","13314,13413,13631,13188,"
