,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5668.70825247,-5668.62445979,-5668.52908943,-5668.59268075,-5668.61362061,0.0372566278257,0.0,1.0,6,"1523,1524,1527,1519,","1523,1524,1527,1519,"
base_Alens,-5668.99160448,-5668.90884765,-5668.62475415,-5668.77718787,-5668.82559854,0.0801927095924,-0.211977928092,10.0,7,"2700,2677,2679,2676,","2700,2677,2679,2676,"
base_nnu,-5670.90611803,-5671.03255462,-5670.89688558,-5671.10470072,-5670.98506474,0.050477886416,-2.37144412818,9.95,7,"4037,4045,4031,4036,","4037,4045,4031,4036,"
base_mnu,-5671.6966393,-5671.80749848,-5671.8106196,-5671.66419167,-5671.74473726,0.0377275961955,-3.13111665221,5.0,7,"2798,2782,2766,2791,","2798,2782,2766,2791,"
base_nrun,-5672.54205714,-5672.4538739,-5672.6229181,-5672.53843287,-5672.5393205,0.0345180594515,-3.9256998943,2.0,7,"2580,2554,2579,2576,","2580,2554,2579,2576,"
base_r,-5672.49235404,-5672.54927447,-5672.55433832,-5672.39199201,-5672.49698971,0.0377144599782,-3.88336910258,3.0,7,"5836,5861,5800,5794,","5836,5861,5800,5794,"
base_w,-5670.14703152,-5670.1139011,-5670.30767955,-5670.39406177,-5670.24066849,0.0663688140994,-1.62704787954,4.0,7,"2172,2188,2158,2203,","2172,2188,2158,2203,"
base_alpha1,-5673.99629839,-5674.06410792,-5674.02529585,-5674.03624116,-5674.03048583,0.0140216662957,-5.41686521878,2.0,7,"3359,3332,3322,3338,","3359,3332,3322,3338,"
base_yhe,-5670.35076662,-5670.40971619,-5670.30118267,-5670.38283668,-5670.36112554,0.0233325252735,-1.7475049339,0.4,7,"2150,2161,2146,2168,","2150,2161,2146,2168,"
base_nnu_mnu,-5674.25147857,-5674.3320587,-5674.3283076,-5674.19215814,-5674.27600075,0.0335527216993,-5.66238014539,49.75,8,"3856,3906,3884,3869,","3856,3906,3884,3869,"
base_nrun_r,-5676.20519434,-5676.28775247,-5676.02463384,-5676.16702529,-5676.17115149,0.0549538841736,-7.55753087697,6.0,8,"3312,3322,3323,3329,","3312,3322,3323,3329,"
base_nnu_yhe,-5672.68921925,-5672.87529046,-5672.81862033,-5672.81706304,-5672.80004827,0.0393476848811,-4.18642766405,3.98,8,"6301,6253,6260,6301,","6301,6253,6260,6301,"
