,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-6021.68924595,-6021.60988086,-6021.5116363,-6021.57542411,-6021.5965468,0.0369987507951,0.0,1.0,6,"1523,1524,1527,1519,","1523,1524,1527,1519,"
base_Alens,-6022.15068007,-6022.0745741,-6021.78706483,-6021.93461288,-6021.98673297,0.0801969370024,-0.390186166832,10.0,7,"2700,2677,2679,2676,","2700,2677,2679,2676,"
base_nnu,-6024.04403413,-6024.06653815,-6023.92732407,-6024.10604726,-6024.0359859,0.038421131093,-2.4394390975,9.95,7,"5765,5776,5756,5764,","5765,5776,5756,5764,"
base_mnu,-6024.67027301,-6024.78170768,-6024.78219328,-6024.63773169,-6024.71797642,0.0375281115389,-3.12142961086,5.0,7,"2798,2782,2766,2791,","2798,2782,2766,2791,"
base_nrun,-6025.55107021,-6025.46539334,-6025.63220608,-6025.5540829,-6025.55068813,0.0340735084159,-3.95414133058,2.0,7,"2580,2554,2579,2576,","2580,2554,2579,2576,"
base_r,-6025.49926313,-6025.54630157,-6025.55091142,-6025.42175536,-6025.50455787,0.0299659205206,-3.90801106518,3.0,7,"6212,6247,6193,6185,","6212,6247,6193,6185,"
base_w,-6024.52632038,-6024.53628651,-6024.73531162,-6024.92724523,-6024.68129094,0.0950674787863,-3.08474413355,4.0,7,"2172,2188,2158,2203,","2172,2188,2158,2203,"
base_alpha1,-6026.97184064,-6027.00939332,-6027.04359915,-6027.04380704,-6027.01716004,0.0171349039901,-5.42061323251,2.0,7,"4797,4758,4743,4766,","4797,4758,4743,4766,"
base_yhe,-6023.37018196,-6023.43811013,-6023.32253526,-6023.41827854,-6023.38727647,0.0258663805264,-1.79072966913,0.4,7,"2150,2161,2146,2168,","2150,2161,2146,2168,"
base_nrun_r,-6029.19839886,-6029.27695007,-6029.11278782,-6029.24524765,-6029.2083461,0.0357054631457,-7.61179929634,6.0,8,"4730,4743,4745,4753,","4730,4743,4745,4753,"
