,chain1,chain2,chain3,chain4,Mean_lnE_k1,Err_lnE_k1,delta_lnE_k1,PriorVol,ndim,N_read,N_used
base,-5668.22750223,-5668.16712692,-5668.09163148,-5668.105696,-5668.14798916,0.0311628545118,0.0,1.0,6,"1481,1483,1478,1475,","1481,1483,1478,1475,"
base_Alens,-5668.92391573,-5668.93589075,-5668.62470892,-5668.83218179,-5668.8291743,0.0719834911509,-0.68118514131,10.0,7,"2051,2048,2055,2044,","2051,2048,2055,2044,"
base_nnu,-5670.46061015,-5670.58833545,-5670.45329108,-5670.66807872,-5670.54257885,0.0520697119796,-2.39458969494,9.95,7,"3888,3912,3858,3904,","3888,3912,3858,3904,"
base_mnu,-5670.76501096,-5670.95632753,-5670.94934367,-5670.79424971,-5670.86623297,0.0503751772913,-2.71824381061,5.0,7,"2707,2696,2683,2724,","2707,2696,2683,2724,"
base_nrun,-5672.09887974,-5672.01917942,-5672.19909918,-5672.10679978,-5672.10598953,0.0368064834575,-3.95800037388,2.0,7,"2537,2501,2530,2531,","2537,2501,2530,2531,"
base_r,-5672.04310476,-5672.08822313,-5672.0767382,-5671.94947557,-5672.03938541,0.0314615724831,-3.89139625739,3.0,7,"5616,5647,5590,5604,","5616,5647,5590,5604,"
base_w,-5668.2862801,-5668.16232315,-5668.32011465,-5668.30333872,-5668.26801415,0.0359009287289,-0.120024996078,4.0,7,"2054,2081,2055,2111,","2054,2081,2055,2111,"
base_alpha1,-5673.44995884,-5673.53537793,-5673.47839801,-5673.4923094,-5673.48901105,0.0177915663273,-5.34102188832,2.0,7,"3314,3287,3271,3300,","3314,3287,3271,3300,"
base_yhe,-5669.94614377,-5670.0062691,-5669.89121056,-5669.98244185,-5669.95651632,0.025033153547,-1.80852716316,0.4,7,"2074,2089,2088,2082,","2074,2089,2088,2082,"
base_nrun_r,-5675.78204415,-5675.84995907,-5675.71390397,-5675.82583942,-5675.79293665,0.0298593360713,-7.64494749516,6.0,8,"4648,4653,4671,4702,","4648,4653,4671,4702,"
